NCBItaxID	Taxonomy	Species	RefSeqCounts
ncbi_693748		Brucella sp. NF 2653	1
ncbi_437663		Brucella sp. UK1/97	1
ncbi_1160234		Brucella sp. UK38/05	1
ncbi_437684		Brucella sp. UK40/99	1
ncbi_437685		Brucella sp. UK5/01	1
ncbi_2501928		BtNv-AlphaCoV/SC2013	1
ncbi_2501926		BtRf-AlphaCoV/HuB2013	1
ncbi_1503293		BtRf-AlphaCoV/YN2012	1
ncbi_430531		Burkholderia humptydooensis	3
ncbi_2020481		Burkholderia sp. 117	1
ncbi_2020482		Burkholderia sp. 129	1
ncbi_2020484		Burkholderia sp. 136(2017)	1
ncbi_2020483		Burkholderia sp. 137	1
ncbi_1468409		Burkholderia sp. 2002721687	1
ncbi_2183921		Burkholderia sp. 28_3	1
ncbi_1820025		Burkholderia sp. ABCPW 111	1
ncbi_2171707		Burkholderia sp. AU12872	1
ncbi_2015356		Burkholderia sp. AU33647	1
ncbi_2015357		Burkholderia sp. AU33803	1
ncbi_1740162		Burkholderia sp. Bp5365	1
ncbi_1740163		Burkholderia sp. Bp7605	1
ncbi_2184548		Burkholderia sp. Bp8977	1
ncbi_2184551		Burkholderia sp. Bp8989	1
ncbi_2184555		Burkholderia sp. Bp8994	1
ncbi_2184560		Burkholderia sp. Bp9010	1
ncbi_2184561		Burkholderia sp. Bp9011	1
ncbi_2184564		Burkholderia sp. Bp9016	1
ncbi_2015361		Burkholderia sp. HI4860	1
ncbi_1637836		Burkholderia sp. MSMB0265	1
ncbi_1637837		Burkholderia sp. MSMB0266	1
ncbi_1636424		Burkholderia sp. MSMB1552	1
ncbi_1636423		Burkholderia sp. MSMB1588	1
ncbi_1086510		Burkholderia sp. MSMB175	1
ncbi_1637838		Burkholderia sp. MSMB2040	1
ncbi_1637839		Burkholderia sp. MSMB2041	1
ncbi_1637840		Burkholderia sp. MSMB2042	1
ncbi_1566269		Burkholderia sp. NFACC33-1	1
ncbi_1566267		Burkholderia sp. NFPP32	1
ncbi_1637847		Burkholderia sp. RF7-non_BP1	1
ncbi_1637848		Burkholderia sp. RF7-non_BP4	1
ncbi_2094190		Burkholderia sp. SRS-25	1
ncbi_1416770		Burkholderia sp. WP40	1
ncbi_1416772		Burkholderia sp. WP42	1
ncbi_469610		Burkholderiales bacterium 1_1_47	1
ncbi_2035215		Burkholderiales bacterium 23	1
ncbi_1834205		Burkholderiales bacterium YL45	1
ncbi_2292300		Butyricicoccus sp. OM04-18BH	1
ncbi_2292301		Butyricicoccus sp. OM06-6AC	1
ncbi_1816677		Butyricimonas sp. Marseille-P2440	1
ncbi_2056878		Cacao Bacilliform SriLanka Virus	1
ncbi_2005469		Calothrix sp. NIES-4071	1
ncbi_2005463		Calothrix sp. NIES-4105	1
ncbi_2039344		Campylobacter sp. 1	1
ncbi_2039339		Campylobacter sp. 107	1
ncbi_2039340		Campylobacter sp. 108	1
ncbi_2039341		Campylobacter sp. 109	1
ncbi_2039342		Campylobacter sp. 110	1
ncbi_2039343		Campylobacter sp. 111	1
ncbi_2039336		Campylobacter sp. 112	1
ncbi_2039338		Campylobacter sp. 114	1
ncbi_1595911		Campylobacter sp. 2014D-0255	1
ncbi_1595912		Campylobacter sp. 2014D-0256	1
ncbi_1595913		Campylobacter sp. 2014D-0257	1
ncbi_1595914		Campylobacter sp. 2014D-0258	1
ncbi_1595915		Campylobacter sp. 2014D-0259	1
ncbi_2039345		Campylobacter sp. 3	1
ncbi_2039346		Campylobacter sp. 4	1
ncbi_1655501		Campylobacter sp. 73/13	1
ncbi_1904034		Campylobacter sp. BCW_4317	1
ncbi_1903587		Campylobacter sp. BCW_4322	1
ncbi_1903588		Campylobacter sp. BCW_4323	1
ncbi_1903589		Campylobacter sp. BCW_4325	1
ncbi_1903590		Campylobacter sp. BCW_4326	1
ncbi_1903591		Campylobacter sp. BCW_4332	1
ncbi_1903592		Campylobacter sp. BCW_4333	1
ncbi_1903593		Campylobacter sp. BCW_4335	1
ncbi_1903594		Campylobacter sp. BCW_4337	1
ncbi_1903595		Campylobacter sp. BCW_4338	1
ncbi_1903596		Campylobacter sp. BCW_4341	1
ncbi_1903294		Campylobacter sp. BCW_6460	1
ncbi_1903295		Campylobacter sp. BCW_6461	1
ncbi_1903579		Campylobacter sp. BCW_6462	1
ncbi_1903580		Campylobacter sp. BCW_6463	1
ncbi_1903583		Campylobacter sp. BCW_6466	1
ncbi_1903584		Campylobacter sp. BCW_6467	1
ncbi_1903585		Campylobacter sp. BCW_6468	1
ncbi_1903284		Campylobacter sp. BCW_6871	1
ncbi_1903285		Campylobacter sp. BCW_6872	1
ncbi_1903286		Campylobacter sp. BCW_6873	1
ncbi_1903287		Campylobacter sp. BCW_6874	1
ncbi_1903288		Campylobacter sp. BCW_6875	1
ncbi_1903289		Campylobacter sp. BCW_6876	1
ncbi_1903291		Campylobacter sp. BCW_6878	1
ncbi_1903292		Campylobacter sp. BCW_6879	1
ncbi_1904032		Campylobacter sp. BCW_7460	1
ncbi_2040654		Campylobacter sp. BCW_8709	1
ncbi_2040652		Campylobacter sp. BCW_8713	1
ncbi_2498127		Campylobacter sp. CH165	1
ncbi_2498130		Campylobacter sp. CH186	1
ncbi_2498132		Campylobacter sp. CH278	1
