	superkingdom		phylum		class		order		family		genus		species	Full	SciNameFull_found
d__	Bacteria	|p__	Proteobacteria	|c__	Gammaproteobacteria	|o__	Enterobacterales	|f__	Morganellaceae	|g__	Arsenophonus	|s__	Arsenophonus endosymbiont of Bemisia tabaci	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Arsenophonus|s__Arsenophonus endosymbiont of Bemisia tabaci	Arsenophonus endosymbiont of Bemisia tabaci
d__	Bacteria	|p__	Proteobacteria	|c__	Gammaproteobacteria	|o__	Enterobacterales	|f__	Morganellaceae	|g__	Arsenophonus	|s__	Arsenophonus endosymbiont of Nilaparvata lugens	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Arsenophonus|s__Arsenophonus endosymbiont of Nilaparvata lugens	Arsenophonus endosymbiont of Nilaparvata lugens
d__	Bacteria	|p__	Proteobacteria	|c__	Gammaproteobacteria	|o__	Enterobacterales	|f__	Morganellaceae	|g__	Arsenophonus	|s__	Arsenophonus endosymbiont of Nilaparvata lugens	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Arsenophonus|s__Arsenophonus endosymbiont of Nilaparvata lugens	Arsenophonus endosymbiont of Nilaparvata lugens
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Galaxyvirus	|s__	Arthrobacter virus Abidatro	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Galaxyvirus|s__Arthrobacter virus Abidatro	Arthrobacter virus Abidatro
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae	|g__	Radnorvirus	|s__	Arthrobacter virus ArV1	d__Viruses|o__Caudovirales|f__Myoviridae|g__Radnorvirus|s__Arthrobacter virus ArV1	Arthrobacter virus ArV1
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae	|g__	Marthavirus	|s__	Arthrobacter virus Brent	d__Viruses|o__Caudovirales|f__Myoviridae|g__Marthavirus|s__Arthrobacter virus Brent	Arthrobacter virus Brent
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Gordonvirus	|s__	Arthrobacter virus Captnmurica	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Gordonvirus|s__Arthrobacter virus Captnmurica	Arthrobacter virus Captnmurica
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Mudcatvirus	|s__	Arthrobacter virus Circum	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Mudcatvirus|s__Arthrobacter virus Circum	Arthrobacter virus Circum
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Gordonvirus	|s__	Arthrobacter virus Gordon	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Gordonvirus|s__Arthrobacter virus Gordon	Arthrobacter virus Gordon
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Gordonvirus	|s__	Arthrobacter virus Gordon	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Gordonvirus|s__Arthrobacter virus Gordon	Arthrobacter virus Gordon
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Mudcatvirus	|s__	Arthrobacter virus Mudcat	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Mudcatvirus|s__Arthrobacter virus Mudcat	Arthrobacter virus Mudcat
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Korravirus	|s__	Arthrobacter virus Preamble	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Korravirus|s__Arthrobacter virus Preamble	Arthrobacter virus Preamble
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae	|g__	Marthavirus	|s__	Arthrobacter virus Sonny	d__Viruses|o__Caudovirales|f__Myoviridae|g__Marthavirus|s__Arthrobacter virus Sonny	Arthrobacter virus Sonny
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Tankvirus	|s__	Arthrobacter virus Tank	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Tankvirus|s__Arthrobacter virus Tank	Arthrobacter virus Tank
